movie_name,movie_year,movie_rating_type,movie_description,movie_keywords,movie_genre,movie_actors,movie_rating_user,movie_rating,direction,writers,storyline,movie_runtime
Avengers: Age of Ultron,2015,PG-13,"Avengers: Age of Ultron is a movie starring Robert Downey Jr., Chris Evans, and Mark Ruffalo. When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to...","superhero,marvel cinematic universe,based on comic book,artificial intelligence,final battle","['Action', 'Adventure', 'Sci-Fi']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",611666,7.4,['Joss Whedon'],"['Joss Whedon', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Jack Kirby', 'Jim Starlin', 'Roy Thomas', 'John Buscema']","    Tony Stark creates the Ultron Program to protect the world, but when the peacekeeping program becomes hostile, The Avengers go into action to try and defeat a virtually impossible enemy together. Earth's mightiest heroes must come together once again to protect the world from global extinction.",2h21min
Ant-Man,2015,PG-13,"Ant-Man is a movie starring Paul Rudd, Michael Douglas, and Corey Stoll. Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help...","heist,ant,sabotage,miniaturized man,corporate","['Action', 'Adventure', 'Comedy', 'Crime', 'Sci-Fi']","['Paul Rudd', 'Michael Douglas', 'Corey Stoll', 'Evangeline Lilly']",456858,7.3,['Peyton Reed'],"['Edgar Wright', 'Joe Cornish', 'Adam McKay', 'Paul Rudd', 'Edgar Wright', 'Joe Cornish', 'Stan Lee', 'Larry Lieber', 'Jack Kirby']","    Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",1h57min
Captain America: Civil War,2016,PG-13,"Captain America: Civil War is a movie starring Chris Evans, Robert Downey Jr., and Scarlett Johansson. Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.","marvel cinematic universe,based on comic book,superhero,siberia,bucharest","['Action', 'Adventure', 'Sci-Fi']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']",530515,7.8,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Joe Simon', 'Jack Kirby', 'Mark Millar', 'Steven McNiven']","    With many people fearing the actions of super heroes, the government decides to push for the Hero Registration Act, a law that limits a hero's actions. This results in a division in The Avengers. Iron Man stands with this Act, claiming that their actions must be kept in check otherwise cities will continue to be destroyed, but Captain America feels that saving the world is daring enough and that they cannot rely on the government to protect the world. This escalates into an all-out war between Team Iron Man (Iron Man, Black Panther, Vision, Black Widow, War Machine, and Spider-Man) and Team Captain America (Captain America, Bucky Barnes, Falcon, Scarlet Witch, Hawkeye, and Ant Man) while a new villain emerges.",2h27min
Doctor Strange,2016,PG-13,"Doctor Strange is a movie starring Benedict Cumberbatch, Chiwetel Ejiofor, and Rachel McAdams. While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","magic,wizard,magician,neurosurgeon,doctor","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong']",457916,7.5,['Scott Derrickson'],"['Jon Spaihts', 'Scott Derrickson', 'C. Robert Cargill', 'Stan Lee', 'Steve Ditko']","    Marvel's ""Doctor Strange"" follows the story of the talented neurosurgeon Doctor Stephen Strange who, after a tragic car accident, must put ego aside and learn the secrets of a hidden world of mysticism and alternate dimensions. Based in New York City's Greenwich Village, Doctor Strange must act as an intermediary between the real world and what lies beyond, utilising a vast array of metaphysical abilities and artifacts to protect the Marvel Cinematic Universe.",1h55min
Guardians of the Galaxy Vol. 2,2017,PG-13,"Guardians of the Galaxy Vol. 2 is a movie starring Chris Pratt, Zoe Saldana, and Dave Bautista. The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.","demi god,mixtape,alien creature,marvel cinematic universe,raccoon","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']",420793,7.7,['James Gunn'],"['James Gunn', 'Dan Abnett', 'Andy Lanning', 'Steve Englehart', 'Steve Gan', 'Jim Starlin', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Bill Mantlo', 'Keith Giffen', 'Steve Gerber', 'Val Mayerik']","    After saving Xandar from Ronan's wrath, the Guardians are now recognized as heroes. Now the team must help their leader Star Lord (Chris Pratt) uncover the truth behind his true heritage. Along the way, old foes turn to allies and betrayal is blooming. And the Guardians find that they are up against a devastating new menace who is out to rule the galaxy.",2h16min
Thor: Ragnarok,2017,PG-13,"Thor: Ragnarok is a movie starring Chris Hemsworth, Tom Hiddleston, and Cate Blanchett. Thor is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the...","marvel comics,marvel cinematic universe,female villain,superhero,sequel","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']",401079,7.9,['Taika Waititi'],"['Eric Pearson', 'Craig Kyle', 'Christopher L. Yost', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Steve Ditko', 'Greg Pak', 'Walter Simonson', 'Carlo Pagulayan']","    Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",2h10min
Spider-Man: Homecoming,2017,PG-13,"Spider-Man: Homecoming is a movie starring Tom Holland, Michael Keaton, and Robert Downey Jr.. Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on...","marvel cinematic universe,superhero,teenage superhero,reboot,based on comic book","['Action', 'Adventure', 'Sci-Fi']","['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']",368166,7.5,['Jon Watts'],"['Jonathan Goldstein', 'John Francis Daley', 'Jon Watts', 'Christopher Ford', 'Chris McKenna', 'Erik Sommers', 'Jonathan Goldstein', 'John Francis Daley', 'Stan Lee', 'Steve Ditko', 'Joe Simon', 'Jack Kirby']","    Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May, under the watchful eye of his new mentor Tony Stark, Peter tries to fall back into his normal daily routine - distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man - but when the Vulture emerges as a new villain, everything that Peter holds most important will be threatened.",2h13min
Black Panther,2018,PG-13,"Black Panther is a movie starring Chadwick Boseman, Michael B. Jordan, and Lupita Nyong'o. After the death of his father, Prince T'Challa ascends to the throne of the small African country of Wakanda. T'Challa is also Black Panther,...","king,marvel cinematic universe,superhero,based on comic book,africa","['Action', 'Adventure', 'Sci-Fi']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']",411544,7.4,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee', 'Jack Kirby']","    After the events of Captain America: Civil War, Prince T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new king. However, T'Challa soon finds that he is challenged for the throne from factions within his own country. When two foes conspire to destroy Wakanda, the hero known as Black Panther must team up with C.I.A. agent Everett K. Ross and members of the Dora Milaje, Wakandan special forces, to prevent Wakanda from being dragged into a world war.",2h14min
Avengers: Infinity War,2018,PG-13,"Avengers: Infinity War is a movie starring Robert Downey Jr., Chris Hemsworth, and Mark Ruffalo. The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of...","death of recurring character,supervillain,superhero,ensemble cast,iron man character","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",519611,8.6,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely', 'Stan Lee', 'Jack Kirby', 'Joe Simon', 'Jack Kirby', 'Steve Englehart', 'Steve Gan', 'Bill Mantlo', 'Keith Giffen', 'Jim Starlin', 'Stan Lee', 'Larry Lieber', 'Jack Kirby', 'Steve Englehart', 'Don Heck', 'Jim Starlin']","    As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2h29min
Ant-Man and the Wasp,2018,PG-13,"Ant-Man and the Wasp is a movie starring Paul Rudd, Evangeline Lilly, and Michael Peña. As Scott Lang balances being both a Super Hero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man...","ant man,action heroine,superhero,action hero,female villain","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['Paul Rudd', 'Evangeline Lilly', 'Michael Peña', 'Walton Goggins']",145241,7.2,['Peyton Reed'],"['Chris McKenna', 'Erik Sommers', 'Paul Rudd', 'Andrew Barrer', 'Gabriel Ferrari', 'Stan Lee', 'Larry Lieber', 'Jack Kirby']","    In the aftermath of Captain America: Civil War (2016), Scott Lang grapples with the consequences of his choices as both a superhero and a father. As he struggles to rebalance his home life with his responsibilities as Ant-Man, he's confronted by Hope van Dyne and Dr. Hank Pym with an urgent new mission. Scott must once again put on the suit and learn to fight alongside The Wasp as the team works together to uncover secrets from their past.",1h58min
